OrderID,OrderDate,CustomerName,State,City,Category,Sub-Category,PaymentMode,Quantity,Amount,Profit
ORD00001,2024-01-01 00:00:00,Priya,Tamil Nadu,Jaipur,Clothing,Earphones,Credit Card,2,445,1694
ORD00002,2024-01-01 01:00:00,Shiva,Telangana,Hyderabad,Home Decor,Watch,COD,2,5401,1669
ORD00003,2024-01-01 02:00:00,Rohit,Gujarat,Hyderabad,Electronics,Cushion,Credit Card,3,4547,247
ORD00004,2024-01-01 03:00:00,Kiran,Rajasthan,Bhopal,Electronics,Bookcases,Debit Card,1,9878,191
ORD00005,2024-01-01 04:00:00,Priya,Karnataka,Hyderabad,Furniture,Cushion,COD,3,4488,130
ORD00006,2024-01-01 05:00:00,Vikram,Madhya Pradesh,Indore,Home Decor,Accessories,Debit Card,5,11079,403
ORD00007,2024-01-01 06:00:00,Madan Mohan,Karnataka,Indore,Home Decor,Laptop,EMI,4,2996,1071
ORD00008,2024-01-01 07:00:00,Priya,Karnataka,Bhopal,Home Decor,Earphones,EMI,5,8540,4630
ORD00009,2024-01-01 08:00:00,Rohit,Rajasthan,Pune,Home Decor,Mobiles,Credit Card,4,14490,330
ORD00010,2024-01-01 09:00:00,Kiran,Tamil Nadu,Ahmedabad,Home Decor,Cushion,Credit Card,1,12081,4030
ORD00011,2024-01-01 10:00:00,Shiva,Gujarat,Pune,Electronics,Watch,EMI,1,11080,381
ORD00012,2024-01-01 11:00:00,Rohit,Karnataka,Bengaluru,Clothing,Sofa,UPI,1,4941,-631
ORD00013,2024-01-01 12:00:00,Rohit,Gujarat,Pune,Clothing,Cushion,EMI,2,5859,4092
ORD00014,2024-01-01 13:00:00,Madan Mohan,Maharashtra,Bengaluru,Furniture,Sofa,COD,2,1560,2794
ORD00015,2024-01-01 14:00:00,Aarav,Telangana,Ahmedabad,Electronics,Earphones,Debit Card,4,17333,4700
ORD00016,2024-01-01 15:00:00,Kiran,Tamil Nadu,Nagpur,Home Decor,Accessories,EMI,3,11931,1490
ORD00017,2024-01-01 16:00:00,Madhav,Gujarat,Bengaluru,Clothing,Saree,EMI,3,3348,176
ORD00018,2024-01-01 17:00:00,Rohit,Madhya Pradesh,Jodhpur,Accessories,Bookcases,Wallet,4,2323,-625
ORD00019,2024-01-01 18:00:00,Aarav,Telangana,Indore,Accessories,Sofa,Debit Card,2,2374,1760
ORD00020,2024-01-01 19:00:00,Madhav,Madhya Pradesh,Jaipur,Accessories,Sofa,Wallet,5,12734,2290
ORD00021,2024-01-01 20:00:00,Kiran,Karnataka,Indore,Home Decor,Bookcases,Debit Card,4,13455,943
ORD00022,2024-01-01 21:00:00,Harivansh,Telangana,Bengaluru,Home Decor,Saree,COD,3,2612,-43
ORD00023,2024-01-01 22:00:00,Vikram,Gujarat,Jodhpur,Furniture,Earphones,Debit Card,4,3774,-190
ORD00024,2024-01-01 23:00:00,Aarav,Telangana,Mumbai,Furniture,Watch,Credit Card,4,14471,3922
ORD00025,2024-01-02 00:00:00,Sneha,Karnataka,Nagpur,Furniture,Laptop,EMI,1,3560,4941
ORD00026,2024-01-02 01:00:00,Harivansh,Rajasthan,Nagpur,Accessories,Sofa,Debit Card,2,16641,533
ORD00027,2024-01-02 02:00:00,Vikram,Tamil Nadu,Mumbai,Home Decor,Saree,COD,1,5918,3430
ORD00028,2024-01-02 03:00:00,Madan Mohan,Madhya Pradesh,Jaipur,Accessories,Saree,Debit Card,2,13297,-591
ORD00029,2024-01-02 04:00:00,Priya,Karnataka,Hyderabad,Furniture,Accessories,EMI,4,1650,-947
ORD00030,2024-01-02 05:00:00,Shiva,Rajasthan,Ahmedabad,Home Decor,Sofa,UPI,2,9585,3796
ORD00031,2024-01-02 06:00:00,Sneha,Telangana,Surat,Electronics,Cushion,Debit Card,3,6348,4853
ORD00032,2024-01-02 07:00:00,Madan Mohan,Telangana,Hyderabad,Clothing,Earphones,Credit Card,1,8441,98
ORD00033,2024-01-02 08:00:00,Kiran,Karnataka,Jodhpur,Clothing,Watch,EMI,4,11588,1396
ORD00034,2024-01-02 09:00:00,Madan Mohan,Gujarat,Bengaluru,Furniture,Saree,COD,3,2154,-26
ORD00035,2024-01-02 10:00:00,Priya,Telangana,Surat,Accessories,Accessories,EMI,2,18950,3488
ORD00036,2024-01-02 11:00:00,Kiran,Gujarat,Jaipur,Electronics,Accessories,Wallet,2,17244,3649
ORD00037,2024-01-02 12:00:00,Sneha,Gujarat,Ahmedabad,Home Decor,Bookcases,UPI,3,7846,1894
ORD00038,2024-01-02 13:00:00,Priya,Tamil Nadu,Nagpur,Accessories,Sofa,COD,2,15853,2279
ORD00039,2024-01-02 14:00:00,Madhav,Gujarat,Bengaluru,Furniture,Saree,UPI,1,7507,3921
ORD00040,2024-01-02 15:00:00,Shiva,Maharashtra,Bengaluru,Accessories,Watch,UPI,5,6786,3839
ORD00041,2024-01-02 16:00:00,Sneha,Tamil Nadu,Ahmedabad,Furniture,Cushion,Credit Card,2,19067,4566
ORD00042,2024-01-02 17:00:00,Madhav,Rajasthan,Indore,Clothing,Mobiles,Debit Card,4,6447,1224
ORD00043,2024-01-02 18:00:00,Vikram,Rajasthan,Jodhpur,Clothing,Mobiles,Credit Card,2,10317,1558
ORD00044,2024-01-02 19:00:00,Sneha,Telangana,Ahmedabad,Accessories,Cushion,Credit Card,4,15394,2690
ORD00045,2024-01-02 20:00:00,Vikram,Telangana,Pune,Electronics,Saree,Wallet,2,7964,-862
ORD00046,2024-01-02 21:00:00,Kiran,Gujarat,Pune,Home Decor,Sofa,Credit Card,2,14873,2173
ORD00047,2024-01-02 22:00:00,Madhav,Tamil Nadu,Ahmedabad,Furniture,Watch,COD,4,1983,1520
ORD00048,2024-01-02 23:00:00,Shiva,Tamil Nadu,Chennai,Home Decor,Bookcases,Debit Card,1,9690,4941
ORD00049,2024-01-03 00:00:00,Priya,Maharashtra,Nagpur,Clothing,Sofa,Debit Card,5,1309,3637
ORD00050,2024-01-03 01:00:00,Rohit,Gujarat,Ahmedabad,Electronics,Laptop,COD,5,16120,1241
ORD00051,2024-01-03 02:00:00,Madan Mohan,Maharashtra,Bhopal,Electronics,Sofa,Credit Card,1,10199,4952
ORD00052,2024-01-03 03:00:00,Harivansh,Gujarat,Jaipur,Home Decor,Sofa,Credit Card,2,18956,2827
ORD00053,2024-01-03 04:00:00,Shiva,Madhya Pradesh,Pune,Clothing,Earphones,UPI,5,2912,337
ORD00054,2024-01-03 05:00:00,Madhav,Madhya Pradesh,Surat,Home Decor,Saree,UPI,1,7526,3089
ORD00055,2024-01-03 06:00:00,Rohit,Karnataka,Hyderabad,Accessories,Bookcases,Wallet,1,4641,4816
ORD00056,2024-01-03 07:00:00,Shiva,Gujarat,Ahmedabad,Electronics,Earphones,EMI,5,18226,1852
ORD00057,2024-01-03 08:00:00,Madhav,Tamil Nadu,Pune,Electronics,Saree,UPI,4,17921,1294
ORD00058,2024-01-03 09:00:00,Aarav,Telangana,Jaipur,Accessories,Shirts,Debit Card,3,11467,1677
ORD00059,2024-01-03 10:00:00,Aarav,Rajasthan,Jaipur,Clothing,Bookcases,COD,4,6009,-928
ORD00060,2024-01-03 11:00:00,Vikram,Karnataka,Surat,Electronics,Saree,Credit Card,2,13540,1878
ORD00061,2024-01-03 12:00:00,Shiva,Telangana,Bengaluru,Furniture,Mobiles,EMI,4,2563,1141
ORD00062,2024-01-03 13:00:00,Aarav,Madhya Pradesh,Chennai,Furniture,Earphones,UPI,3,16966,3530
ORD00063,2024-01-03 14:00:00,Madhav,Gujarat,Bhopal,Clothing,Shirts,EMI,3,8298,806
ORD00064,2024-01-03 15:00:00,Vikram,Karnataka,Ahmedabad,Accessories,Bookcases,COD,1,16615,1045
ORD00065,2024-01-03 16:00:00,Madhav,Gujarat,Mumbai,Home Decor,Laptop,COD,2,8040,2502
ORD00066,2024-01-03 17:00:00,Vikram,Madhya Pradesh,Ahmedabad,Clothing,Watch,EMI,1,11112,3552
ORD00067,2024-01-03 18:00:00,Shiva,Karnataka,Bengaluru,Home Decor,Laptop,EMI,4,19970,2501
ORD00068,2024-01-03 19:00:00,Rohit,Madhya Pradesh,Jodhpur,Clothing,Mobiles,Wallet,4,14528,1276
ORD00069,2024-01-03 20:00:00,Priya,Maharashtra,Indore,Furniture,Mobiles,EMI,5,13832,1077
ORD00070,2024-01-03 21:00:00,Sneha,Madhya Pradesh,Nagpur,Accessories,Cushion,Credit Card,1,2182,648
ORD00071,2024-01-03 22:00:00,Rohit,Tamil Nadu,Bengaluru,Furniture,Cushion,Debit Card,1,6487,-666
ORD00072,2024-01-03 23:00:00,Kiran,Tamil Nadu,Hyderabad,Accessories,Laptop,UPI,1,18959,3755
ORD00073,2024-01-04 00:00:00,Madhav,Gujarat,Jaipur,Home Decor,Earphones,UPI,1,14952,3664
ORD00074,2024-01-04 01:00:00,Kiran,Rajasthan,Chennai,Clothing,Sofa,UPI,3,9092,3272
ORD00075,2024-01-04 02:00:00,Rohit,Madhya Pradesh,Mumbai,Electronics,Saree,EMI,5,18707,1871
ORD00076,2024-01-04 03:00:00,Vikram,Telangana,Nagpur,Electronics,Watch,EMI,2,17150,1615
ORD00077,2024-01-04 04:00:00,Sneha,Tamil Nadu,Pune,Accessories,Shirts,Wallet,2,4250,3872
ORD00078,2024-01-04 05:00:00,Sneha,Rajasthan,Hyderabad,Accessories,Watch,EMI,2,4189,4356
ORD00079,2024-01-04 06:00:00,Harivansh,Maharashtra,Ahmedabad,Furniture,Mobiles,Wallet,3,19276,4397
ORD00080,2024-01-04 07:00:00,Sneha,Karnataka,Nagpur,Electronics,Cushion,Wallet,5,9511,3172
ORD00081,2024-01-04 08:00:00,Priya,Karnataka,Pune,Furniture,Sofa,Credit Card,5,18231,-68
ORD00082,2024-01-04 09:00:00,Sneha,Tamil Nadu,Indore,Home Decor,Accessories,Credit Card,3,13389,-365
ORD00083,2024-01-04 10:00:00,Rohit,Rajasthan,Pune,Electronics,Bookcases,Credit Card,1,15866,4773
ORD00084,2024-01-04 11:00:00,Harivansh,Tamil Nadu,Mumbai,Home Decor,Accessories,Credit Card,4,4736,2229
ORD00085,2024-01-04 12:00:00,Rohit,Karnataka,Jaipur,Clothing,Accessories,COD,1,17387,190
ORD00086,2024-01-04 13:00:00,Rohit,Madhya Pradesh,Bengaluru,Furniture,Earphones,Credit Card,2,8797,4508
ORD00087,2024-01-04 14:00:00,Madan Mohan,Rajasthan,Surat,Accessories,Earphones,Credit Card,1,7936,-989
ORD00088,2024-01-04 15:00:00,Harivansh,Gujarat,Bengaluru,Electronics,Cushion,Credit Card,3,12279,3002
ORD00089,2024-01-04 16:00:00,Rohit,Madhya Pradesh,Bengaluru,Furniture,Accessories,Wallet,2,9365,3926
